S1,52,463L PLT (Life Support),,31C100,Life Support,4260,88,108,76,,J3D,,N,0
S1,53,Tank  Loader,1730013558410,23F100,AGE,1560,236,53,76,,A2D,,N,0
,,S. Jack,1730223069002,,,,,,,,,,,
S1,54,Bobtail,1740010688945YW,23F100,AGE,7880,180,96,80,3  8  9,L2D,,N,0
S1,55,MHU141 TRL LD (CRS),1740010315868,2R1700,Elec Warfare Conv,5090,138,84,93,,A2D,,N,0
S1,56,TRL Loaded (EMS),,2E3200,Armanent Systems,3530,167,56,71,,A2D,,N,0
S1,57,GE 129 Eng TRL,1740007135908,2R2100,Jet Engine,5500,190,60,87,9,D2D,,N,0
S1,78,MC-7 Comp,4310012128930,23F100,AGE,2680,130,72,52,3  8  9,L2D,,N,0
S1,79,463L PLT,,410101,SUP Mobility SEC,3480,88,108,60,,J3D,,N,0
S1,97,463L PLT (EMS),,23F100,AGE,4150,88,108,71,9,J3D,,N,0
S1,101,Cobra Crane,3950010933721,23F100,AGE,1480,232,35,63,,A2D,,N,0
S1,102,463L PLT (FS),,2G1300,WPNS Flt,2310,88,108,96,,J3D,,N,0
S1,105,463L PLT Fire Bottle (FS),,22C100,Sortie Support Flt,3300,88,108,64,22,D3D,,N,0
T1,1,C-10C A/C,4120011014704,23F100,AGE,1320,107,71,71,,A2D,,N,0
T1,2,MC-2A Air Comp,4310010820818,23F100,AGE,860,90,47,39,3  8  9,L2D,,N,0
T1,3,TRL Loaded (EMS),,2E3200,Armanent Systems,3530,167,56,71,,A2D,,N,0
T1,4,C-10C A/C,4120011014704,23F100,AGE,1320,107,71,71,,A2D,,N,0
T1,5,Towbar/shoring,1730006408080,23F100,AGE,500,170,58,32,,J2D,,N,0
T1,6,C-10C A/C,4120011014704,23F100,AGE,1320,107,71,71,,A2D,,N,0
T1,7,463L PLT (EMS),,2E3200,AGE,4580,88,108,67,,J3D,,N,0
T1,8,Bobtail,1740010688945YW,23F100,AGE,7880,180,96,80,3  8  9,L2D,,N,0
T1,9,463L PLT (CRS),,2R7300,AGE,3710,88,108,64,8  99X,D3D,,N,0
T2,1,MC-2A Air Comp,4310010820818,23F100,AGE,880,90,47,39,3  8  9,L2D,,N,0
T2,2,Washcart,4940P301HGESM,23F100,AGE,1580,124,57,58,3  8  9,L2D,,N,0
